obsID,timelbl2,timelbl3,place
979,Day,Day,Mudflats_Territory
980,Day,Day,Mudflats_Territory
981,Day,Day,Mudflats_Territory
983,Day,Day,Mudflats_Territory
984,Day,Day,Mudflats_Territory
985,Day,Day,Mudflats_Territory
987,Day,Day,Mudflats_Territory
988,Day,Day,Mudflats_Territory
991,Day,Day,Mudflats_Territory
992,Day,Day,Mudflats_Territory
993,Day,Day,Mudflats_Territory
995,Day,Day,Mudflats_Territory
996,Day,Day,Mudflats_Territory
997,Day,Day,Mudflats_Territory
1000,Day,Day,Mudflats_Territory
1003,Day,Day,Territory
1004,Day,Day,Mudflats_Territory
1008,Day,Day,Mudflats_Territory
1009,Day,Day,Territory
1010,Day,Day,Territory
1011,Day,Day,Mudflats_Territory
1012,Day,Day,Mudflats_Territory
1013,Day,Day,Mudflats_Territory
1014,Day,Day,Territory
1016,Day,Day,Mudflats_Territory
1020,Day,Day,Mudflats_Territory
1031,Night,Twilight,Mudflats_Territory
1033,Night,Night,Mudflats_Territory
1034,Night,Night,Mudflats_Territory
1035,Night,Night,Mudflats_Territory
1040,Night,Night,Mudflats_Territory
1042,Night,Night,Mudflats_Territory
1043,Night,Night,Mudflats_Territory
1045,Night,Night,Mudflats_Territory
1046,Night,Night,Mudflats_Territory
1050,Night,Night,Mudflats_Territory
1052,Night,Night,Mudflats_Territory
1053,Night,Night,Mudflats_Territory
1054,Night,Night,Mudflats_Territory
1055,Night,Night,Mudflats_Territory
1056,Night,Night,Mudflats_Territory
1057,Night,Night,Mudflats_Territory
1059,Night,Night,Mudflats_Territory
1060,Night,Night,Mudflats_Territory
1063,Night,Twilight,Mudflats_Territory
1066,Night,Twilight,Mudflats_Territory
1069,Day,Twilight,Mudflats_Territory
1070,Day,Twilight,Mudflats_Territory
1071,Day,Twilight,Mudflats_Territory
1074,Day,Day,Territory
1075,Day,Day,Territory
1076,Day,Day,Mudflats_Territory
1077,Day,Day,Mudflats_Territory
1078,Day,Day,Mudflats_Territory
1079,Day,Day,Mudflats_Territory
1083,Day,Day,Mudflats_Territory
1085,Day,Day,Mudflats_Territory
1086,Day,Day,Mudflats_Territory
1087,Day,Day,Mudflats_Territory
1089,Day,Day,Mudflats_Territory
1090,Day,Day,Mudflats_Territory
1092,Day,Day,Mudflats_Territory
1093,Day,Day,Territory
