obsID,birdID,date_time,latitude,longitude,speed
8843,167,11-Jul-09,53.4764713,6.2231259,0
8844,167,11-Jul-09,53.4764779,6.2231324,0.104880885
8845,167,11-Jul-09,53.4765075,6.2231482,0.073484692
8846,167,12-Jul-09,53.4765104,6.2231442,0.087749644
8847,167,12-Jul-09,53.4768286,6.2233798,0.156524758
8848,167,12-Jul-09,53.4767658,6.2234259,0.3318132
8849,167,12-Jul-09,53.4768021,6.223306,0.465832588
8850,167,12-Jul-09,53.4767567,6.2232933,0.014142136
8851,167,12-Jul-09,53.476773,6.2233063,0
8852,167,12-Jul-09,53.4767795,6.2232911,0.151657509
8853,167,12-Jul-09,53.4767709,6.223243,0
8854,167,12-Jul-09,53.476766,6.2232466,0.100498756
8855,167,12-Jul-09,53.4764729,6.2230023,0.464865572
8856,167,12-Jul-09,53.4760401,6.2234372,0.192353841
8857,167,12-Jul-09,53.4765616,6.2228398,0
8858,167,12-Jul-09,53.476818,6.2233567,0.070710678
8859,167,12-Jul-09,53.4766631,6.2227852,0.014142136
8860,167,12-Jul-09,53.4767907,6.2232039,0.52744668
8861,167,12-Jul-09,53.476666,6.2227569,0.243926218
8862,167,12-Jul-09,53.4755132,6.2239202,0.058309519
8863,167,12-Jul-09,53.4761932,6.223307,1.093663568
8864,167,12-Jul-09,53.4766378,6.2227213,0.403732585
8865,167,12-Jul-09,53.4766799,6.2231845,0.091104336
8866,167,12-Jul-09,53.4761718,6.2231783,0.314165561
8867,167,12-Jul-09,53.4763718,6.2231312,0.165529454
8868,167,12-Jul-09,53.475706,6.2236719,0.225610283
8869,167,12-Jul-09,53.4767069,6.2227734,0.230434372
8870,167,12-Jul-09,53.4767377,6.2232138,0.15132746
8871,167,12-Jul-09,53.4768183,6.2232643,0.024494897
8872,167,12-Jul-09,53.4765179,6.2228192,0.628490254
8873,167,12-Jul-09,53.4754558,6.2240108,0.364142829
8874,167,12-Jul-09,53.4760815,6.2233462,0.120415946
8875,167,12-Jul-09,53.4763652,6.2231373,0.343802269
8876,167,12-Jul-09,53.4763059,6.22359,0.100498756
8877,167,12-Jul-09,53.4756996,6.2237938,0.233880311
8878,167,12-Jul-09,53.4758703,6.2237543,0.425910789
8879,167,12-Jul-09,53.4759266,6.2237908,0
8880,167,12-Jul-09,53.47593,6.2237782,0.104403065
8881,167,12-Jul-09,53.4755785,6.2239946,0.090553851
8882,167,12-Jul-09,53.4767508,6.2232676,0.809567786
8883,167,12-Jul-09,53.4768301,6.223289,0.045825757
8884,167,12-Jul-09,53.4759614,6.2232524,0.014142136
8885,167,12-Jul-09,53.4757591,6.2236491,0.145945195
8886,167,12-Jul-09,53.4755934,6.2242181,0.02236068
8887,167,12-Jul-09,53.4758491,6.223457,0.230217289
8888,167,12-Jul-09,53.4761351,6.2231072,0.226495033
8889,167,12-Jul-09,53.4762164,6.2230766,0
8890,167,12-Jul-09,53.476163,6.2238816,0.62289646
8891,167,12-Jul-09,53.4757341,6.2235149,0.161864141
8892,167,12-Jul-09,53.475764,6.223648,0.174928557
8893,167,12-Jul-09,53.4753391,6.2241168,0.342928564
8894,167,12-Jul-09,53.4756576,6.2237665,0.01
8895,167,12-Jul-09,53.4758582,6.2233182,0.209284495
8896,167,12-Jul-09,53.4761094,6.2233954,0.437035468
8897,167,12-Jul-09,53.4767508,6.2232498,0.046904158
8898,167,12-Jul-09,53.476759,6.2232469,0.070710678
8899,167,12-Jul-09,53.476765,6.2232411,0
8900,167,12-Jul-09,53.4767749,6.223226,0.014142136
8901,167,12-Jul-09,53.4767725,6.223211,0.028284271
8902,167,12-Jul-09,53.4767791,6.223208,0.01
8903,167,12-Jul-09,53.4767677,6.223235,0.057445626
